keywords,sentence
snow take condition,biological species in the snow taken under controlled conditions
salad feta add,olives being added to a salad with feta
day test cricketer,cricketer of bats during day of the first test .
match deject athlete,athlete looks dejected during the match
giraffe field wander,Three giraffes and three zebras wander around in a field with trees.
pizza food dish,A large dish of pizza on a tabletop with other foods.
grow farm field,field grown cucumber on the farm
wall paint stand,painting a standing wall is hard
bed sleep find,pregnant woman not able to find a comfortable position to sleep in bed
gain speed cyclist,A skilled cyclist is trying to gain speed
athlete lead bridge,athlete leads a group after crossing suspension bridge and alongside the tower
enclosure zoo stand elephant,Two large gray elephants standing next to an enclosure at a zoo.
cage lock dog,dogs locked in the cage
company fund attraction,tourist attraction at venture funded company
pollen flower close bee,close up of a honey bee collecting pollen from the stamen of a ball shaped purple flower
country state road,the state of the roads in the country is good
window flight sunrise,early flight caught the sunrise from my window ...
alley town architecture,a typical alley and architecture of the old town
curtain bathroom theme,A bathroom with a tropical themed shower curtain.
rock pass beach,pass among the rocks at the beach
bay boat anchor,boats anchored in a bay
frame wall painting,visitor appreciates classical framed paintings on the walls of this collection
vegetation stream bank,tropical vegetation on banks of stream
image text blackboard,blackboard with a christmas funny text in a conceptual image
ship morning sea,morning to return the ship to sea
reach wall peer,"Reaching a reception desk, they peer at a vast wall mounted directory."
temple gather front,gathering place for tourists in front of the temple
security patrol force,armed force holds security during a patrol
boat stand look,The girl was standing on the dock to look at the boats.
carrot plate meat tomato,"Plate containing carrots, tomatoes, corn, potatoes and meat"
pizza counter oven,four pizzas on a counter near an oven.
stalk forest tiger,a wild bengal tiger stalks its prey in a forest
dog day flower,dog sniffing a purple wild flower on a sunny bright spring day
harvest field harvester wheat,combined harvester harvesting a field of wheat
wind town street,the winding streets of the old town
field rainbow tree,a rainbow over a wide vista of fields and trees .
bridge drive speed,a horse and trap are driven at speed over a bridge at an event
sky glide glider,Several people getting ready to glide in the sky with their para-gliders.
water collect pond,water was collected from the pond
walk giraffe savannah,male giraffe walks around in the savannah
shop tourist restaurant,tourists in a street with many restaurants and coffee shops
pass attraction ship,cruise ship about to pass through tourist attraction assisted by tug
coach talk game,a ref talks to the coaches in a game
aircraft country flight,aircraft in flight over country
game score player,The baseball player scored the game winning run.
cub rock lioness,sleeping lioness with cub on a rock
hat shoot model,The woman are modeling for a calendar shoot of funny and/or original hats
bag collect worker come machine,The worker collects bags that come from a machine.
want life dog,all this dog wants out of life is to go outside
